text,label
Click here to claim your free prize,Phishing
Your account has been suspended. Verify now,Phishing
Congratulations! You won a lottery,Phishing
Urgent: Verify your bank account immediately,Phishing
Claim your reward by clicking this link,Phishing
Update your password now to avoid suspension,Phishing
You have received a cashback offer,Phishing
Login to secure your account,Phishing
Your package delivery is pending. Click here,Phishing
Free gift card waiting for you,Phishing
Limited-time offer. Claim now,Phishing
Your account will be closed unless verified,Phishing
Win a brand new smartphone today,Phishing
Confirm your payment details immediately,Phishing
Security alert: login required now,Phishing
Exclusive reward for selected users,Phishing
Click to unlock your bonus reward,Phishing
Verify your identity to continue,Phishing
Your tax refund is ready. Claim it now,Phishing
Act now to prevent account suspension,Phishing
Meeting scheduled for tomorrow,Safe
Project report attached for review,Safe
Please review the document and provide feedback,Safe
Team meeting at 3 PM today,Safe
Thank you for your application,Safe
Monthly performance report attached,Safe
Reminder for tomorrow's presentation,Safe
Invoice for your recent purchase attached,Safe
Welcome to the organization,Safe
Training session starts next week,Safe
Please find the meeting agenda attached,Safe
Your leave request has been approved,Safe
Weekly project status update,Safe
Client meeting rescheduled to Friday,Safe
Happy birthday from the team,Safe
Office will remain closed on Monday,Safe
Kindly review the updated project plan,Safe
Thank you for attending the workshop,Safe
The document has been shared successfully,Safe
Your registration has been confirmed,Safe
